name,image_url,youtube_url,year
Avengers: Age of Ultron,https://image.tmdb.org/t/p/w185/nveEFHidaEXZCG7zhfTc26hVqSu.jpg,https://www.youtube.com/watch?v=tmeOjFno6Do,2015
Whiplash,http://ia.media-imdb.com/images/M/MV5BMTU4OTQ3MDUyMV5BMl5BanBnXkFtZTgwOTA2MjU0MjE@._V1_.jpg,https://www.youtube.com/watch?v=7d_jQycdQGo,2015
Nice Guys,"http://ia.media-imdb.com/images/M/MV5BMjcwNDA5MDYyNl5BMl5BanBnXkFtZTgwNjg0NDkzNzE@._V1_SY1000_CR0,0,674,1000_AL_.jpg",https://www.youtube.com/watch?v=GQR5zsLHbYw,2016
Captain America: The Winter Soldier,https://image.tmdb.org/t/p/w185/pH4oeiZAh9a40tly4D0l6aAB3ms.jpg,https://www.youtube.com/watch?v=7SlILk2WMTI,2014
Captain America: Civil War,"http://ia.media-imdb.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SY1000_CR0,0,674,1000_AL_.jpg",https://www.youtube.com/watch?v=dKrVegVI0Us,2016
Furious 7,https://image.tmdb.org/t/p/w185/xTbSn1UHkyhY7BinfDQg83o3qjv.jpg,https://www.youtube.com/watch?v=5Yab0sXGEjg,2015
Justice League,http://ia.media-imdb.com/images/M/MV5BYTk1ZTVmZmQtNDY2YS00MjRiLWFiOTQtNzg0MjFhNjVlMDYwXkEyXkFqcGdeQXVyNjY1MDU0OTM@._V1_.jpg,https://www.youtube.com/watch?v=fIHH5-HVS9o,2017
Wonder Woman,http://ia.media-imdb.com/images/M/MV5BMTU2ODQ1OTUyOF5BMl5BanBnXkFtZTgwMjc2MzE1OTE@._V1_SY1000_SX675_AL_.jpg,https://www.youtube.com/watch?v=Tgk_63b-Mrw,2017
Doctor Strange,"http://ia.media-imdb.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_SY1000_CR0,0,674,1000_AL_.jpg",https://www.youtube.com/watch?v=h7gvFravm4A,2016
Kong: Skull Island,"http://ia.media-imdb.com/images/M/MV5BMTg2Nzg0OTQ3NF5BMl5BanBnXkFtZTgwNjIxNjE1OTE@._V1_SY1000_CR0,0,674,1000_AL_.jpg",https://www.youtube.com/watch?v=YAbI4w95cTE,2017
King Arthur: Legend of the Sword,"http://ia.media-imdb.com/images/M/MV5BNjU5NTg4MjgyNl5BMl5BanBnXkFtZTgwNTc3MzE1OTE@._V1_SY1000_CR0,0,674,1000_AL_.jpg",https://www.youtube.com/watch?v=o0CsoPAlGlg,2017
Suicide Squad,"http://ia.media-imdb.com/images/M/MV5BMjM1OTMxNzUyM15BMl5BanBnXkFtZTgwNjYzMTIzOTE@._V1_SY1000_CR0,0,674,1000_AL_.jpg",https://www.youtube.com/watch?v=CmRih_VtVAs,2016
Batman v Superman: Dawn of Justice,http://ia.media-imdb.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,https://www.youtube.com/watch?v=0WWzgGyAH6Y,2016
Tomorrowland,https://image.tmdb.org/t/p/w185/xB8VUQG82pjoStqqDVpgasV8Ku7.jpg,https://www.youtube.com/watch?v=1k59gXTWf-A,2015
Deadpool,http://ia.media-imdb.com/images/M/MV5BMjQyODg5Njc4N15BMl5BanBnXkFtZTgwMzExMjE3NzE@._V1_SY1000_SX686_AL_.jpg,https://www.youtube.com/watch?v=gtTfd6tISfw,2016
X-Men Apocalypse,"http://ia.media-imdb.com/images/M/MV5BMjU1ODM1MzYxN15BMl5BanBnXkFtZTgwOTA4NDE2ODE@._V1_SY1000_CR0,0,676,1000_AL_.jpg",https://www.youtube.com/watch?v=Jer8XjMrUB4,2016
Rogue One: A Star Wars Story,"http://ia.media-imdb.com/images/M/MV5BMjQyMzI2OTA3OF5BMl5BanBnXkFtZTgwNDg5NjQ0OTE@._V1_SY1000_CR0,0,674,1000_AL_.jpg",https://www.youtube.com/watch?v=frdj1zb9sMY,2016
Finding Dory,"http://ia.media-imdb.com/images/M/MV5BNzg4MjM2NDQ4MV5BMl5BanBnXkFtZTgwMzk3MTgyODE@._V1_SY1000_CR0,0,674,1000_AL_.jpg",https://www.youtube.com/watch?v=dLIy1K8kJPo,2016
